List   		   Dictionary
00:00:00.0003321         00:00:00.0000830         
00:00:00.0003918         00:00:00.0000827         
00:00:00.0004658         00:00:00.0000870         
00:00:00.0013469         00:00:00.0002447         
00:00:00.0075300         00:00:00.0005675         
00:00:00.0791577         00:00:00.0040921         
00:00:00.7249951         00:00:00.0408986         
00:00:07.0250890         00:00:00.4274884         
List   		   Dictionary              | Searches = 1000, n = People Amount
00:00:00.0005324         00:00:00.0001411         
00:00:00.0004304         00:00:00.0001635         
00:00:00.0015497         00:00:00.0001750         
00:00:00.0010990         00:00:00.0002323         
00:00:00.0008070         00:00:00.0001250         
00:00:00.0024438         00:00:00.0022718         
